A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,origin,control,rating,condition,awareness
-0.001356,-0.001011,6.808E-4,1.986E-4,8.869E-4,3.523E-4,7.549E-4,2.884E-5,0.0308,-0.04749,4.733E-4,1.771E-4,0.001013,2.743E-4,7.124E-4,8.622E-5,junk,junk,junk,junk,junk
-0.001451,-9.154E-4,6.65E-4,1.968E-4,8.48E-4,3.588E-4,7.27E-4,2.293E-5,0.03072,-0.0472,4.529E-4,1.801E-4,9.997E-4,2.819E-4,7.304E-4,8.139E-5,junk,junk,junk,junk,junk
-0.001997,-5.76E-4,6.443E-4,1.88E-4,8.336E-4,3.468E-4,7.061E-4,1.739E-5,0.03009,-0.04642,4.344E-4,1.909E-4,9.535E-4,2.888E-4,6.725E-4,9.863E-5,junk,junk,junk,junk,junk
-0.001653,-5.694E-4,6.256E-4,1.847E-4,7.875E-4,3.491E-4,6.415E-4,3.181E-5,0.0301,-0.0463,4.31E-4,1.801E-4,9.119E-4,2.989E-4,6.415E-4,1.015E-4,junk,junk,junk,junk,junk
-0.001687,-5.619E-4,5.919E-4,1.836E-4,7.406E-4,3.466E-4,6.131E-4,2.968E-5,0.03018,-0.04634,3.924E-4,1.887E-4,8.776E-4,3.067E-4,5.935E-4,1.024E-4,junk,junk,junk,junk,junk
-0.001878,-4.136E-4,5.491E-4,1.824E-4,6.889E-4,3.428E-4,5.833E-4,3.053E-5,0.02971,-0.04578,3.55E-4,1.869E-4,8.478E-4,3.12E-4,5.265E-4,1.167E-4,junk,junk,junk,junk,junk
-0.0016,-5.387E-4,5.231E-4,1.756E-4,6.652E-4,3.438E-4,5.638E-4,2.943E-5,0.02942,-0.04544,3.404E-4,1.908E-4,8.031E-4,3.214E-4,5.103E-4,1.131E-4,junk,junk,junk,junk,junk
-0.001359,-7.245E-4,5.163E-4,1.718E-4,6.459E-4,3.418E-4,5.357E-4,3.252E-5,0.02972,-0.04557,3.482E-4,1.875E-4,7.725E-4,3.254E-4,4.835E-4,1.15E-4,junk,junk,junk,junk,junk
-0.001482,-8.392E-4,5.298E-4,1.66E-4,6.324E-4,3.425E-4,5.42E-4,1.641E-5,0.02961,-0.04543,3.535E-4,1.951E-4,7.952E-4,3.18E-4,5.061E-4,1.065E-4,junk,junk,junk,junk,junk
-9.834E-4,-0.00125,5.516E-4,1.581E-4,6.347E-4,3.447E-4,5.189E-4,2.243E-5,0.02981,-0.04546,3.723E-4,1.944E-4,7.855E-4,3.232E-4,5.279E-4,1.005E-4,junk,junk,junk,junk,junk
-0.001072,-0.001102,5.552E-4,1.588E-4,6.113E-4,3.489E-4,5.223E-4,2.475E-5,0.02984,-0.04535,3.522E-4,2.015E-4,7.83E-4,3.334E-4,5.445E-4,9.665E-5,junk,junk,junk,junk,junk
-8.92E-4,-0.001276,5.555E-4,1.614E-4,6.098E-4,3.462E-4,5.298E-4,7.422E-6,0.0299,-0.04521,3.538E-4,1.997E-4,7.593E-4,3.354E-4,5.371E-4,1.038E-4,junk,junk,junk,junk,junk
-8.156E-4,-0.001383,5.41E-4,1.669E-4,5.978E-4,3.405E-4,5.027E-4,1.011E-5,0.02944,-0.04493,3.595E-4,1.943E-4,7.152E-4,3.452E-4,5.586E-4,1.008E-4,junk,junk,junk,junk,junk
-0.001088,-0.001169,5.237E-4,1.68E-4,5.789E-4,3.446E-4,4.735E-4,1.435E-5,0.02922,-0.04467,3.292E-4,1.988E-4,7.085E-4,3.466E-4,5.428E-4,1.019E-4,junk,junk,junk,junk,junk
-0.001332,-9.336E-4,5.201E-4,1.624E-4,5.592E-4,3.4E-4,4.48E-4,1.309E-5,0.02915,-0.04459,3.116E-4,1.923E-4,6.537E-4,3.54E-4,5.022E-4,1.18E-4,junk,junk,junk,junk,junk
-0.001576,-8.167E-4,4.907E-4,1.643E-4,5.312E-4,3.427E-4,4.123E-4,1.053E-5,0.02926,-0.04464,2.511E-4,1.94E-4,6.093E-4,3.571E-4,4.342E-4,1.275E-4,junk,junk,junk,junk,junk
-0.001348,-9.735E-4,4.618E-4,1.639E-4,4.926E-4,3.383E-4,3.473E-4,8.921E-6,0.02897,-0.04443,2.262E-4,1.796E-4,5.82E-4,3.541E-4,3.702E-4,1.354E-4,junk,junk,junk,junk,junk
-0.001606,-8.09E-4,4.439E-4,1.574E-4,4.56E-4,3.42E-4,2.987E-4,1.901E-5,0.02879,-0.04434,1.716E-4,1.799E-4,5.427E-4,3.487E-4,3.109E-4,1.377E-4,junk,junk,junk,junk,junk
-0.001642,-7.043E-4,4.053E-4,1.621E-4,4.351E-4,3.332E-4,2.635E-4,2.314E-5,0.02871,-0.04409,1.077E-4,1.732E-4,4.524E-4,3.531E-4,2.574E-4,1.334E-4,junk,junk,junk,junk,junk
-0.001034,-0.001193,3.796E-4,1.569E-4,3.717E-4,3.402E-4,2.187E-4,1.534E-5,0.02865,-0.04407,6.017E-5,1.654E-4,4.326E-4,3.478E-4,2.031E-4,1.228E-4,junk,junk,junk,junk,junk
-0.001432,-0.001275,3.343E-4,1.55E-4,3.298E-4,3.389E-4,1.844E-4,-6.993E-8,0.02861,-0.04412,-2.003E-5,1.673E-4,3.92E-4,3.391E-4,1.106E-4,1.361E-4,junk,junk,junk,junk,junk
