A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,accuracy,feedback1,feedback2,condition
-0.02387,-0.003042,-0.005604,-0.001594,-0.003817,-0.001597,-0.00476,-0.00177,0.005761,0.00402,2.113E-4,-8.146E-4,0.001657,-1.939E-4,0.001419,-1.534E-4,lessthanfifty,junk,junk,junk
-0.02404,-0.003311,-0.005861,-0.001563,-0.003766,-0.00165,-0.004511,-0.001758,0.00664,0.004013,3.169E-4,-7.676E-4,0.001847,-1.22E-4,0.001599,-5.857E-5,lessthanfifty,junk,junk,junk
-0.02511,-0.003191,-0.006216,-0.00169,-0.004143,-0.001687,-0.005247,-0.001906,0.006657,0.003935,2.127E-4,-8.192E-4,0.001669,-1.317E-4,0.001437,-1.343E-4,lessthanfifty,junk,junk,junk
-0.02656,-0.003409,-0.006349,-0.001695,-0.004461,-0.001771,-0.005213,-0.001886,0.006368,0.003901,2.776E-4,-8.922E-4,0.001753,-2.972E-4,0.001466,-2.186E-4,lessthanfifty,junk,junk,junk
-0.02554,-0.003265,-0.006318,-0.001662,-0.003985,-0.001701,-0.005011,-0.00182,0.005678,0.003775,1.224E-4,-0.001047,0.001392,-4.204E-4,0.001253,-4.726E-4,lessthanfifty,junk,junk,junk
-0.02502,-0.003186,-0.005948,-0.001652,-0.00418,-0.001674,-0.005178,-0.001866,0.004843,0.003667,6.739E-5,-0.001158,0.001346,-6.142E-4,0.001105,-6.013E-4,lessthanfifty,junk,junk,junk
-0.02591,-0.003388,-0.006282,-0.001672,-0.004295,-0.001745,-0.005154,-0.001844,0.004351,0.003557,5.271E-5,-0.001279,0.001226,-7.363E-4,0.001062,-7.932E-4,lessthanfifty,junk,junk,junk
-0.02716,-0.00334,-0.00672,-0.001762,-0.004437,-0.001807,-0.005432,-0.001991,0.003689,0.003562,-1.604E-4,-0.001323,9.228E-4,-7.826E-4,7.867E-4,-8.774E-4,lessthanfifty,junk,junk,junk
-0.02864,-0.003472,-0.006878,-0.001806,-0.005091,-0.001905,-0.005973,-0.002031,0.003419,0.003529,-7.047E-5,-0.001305,0.001104,-8.341E-4,9.376E-4,-8.214E-4,lessthanfifty,junk,junk,junk
-0.02815,-0.003448,-0.007013,-0.00179,-0.004588,-0.001851,-0.005592,-0.001979,0.002861,0.003779,-6.679E-5,-0.001219,0.001156,-6.133E-4,9.87E-4,-7.032E-4,lessthanfifty,junk,junk,junk
-0.02814,-0.003397,-0.006725,-0.001797,-0.004752,-0.001846,-0.005582,-0.002026,0.003322,0.003858,-1.616E-4,-0.001022,0.001159,-4.299E-4,0.001001,-4.398E-4,lessthanfifty,junk,junk,junk
-0.02803,-0.003484,-0.006904,-0.001771,-0.004936,-0.001884,-0.006051,-0.001971,0.003253,0.00406,5.414E-6,-9.258E-4,0.001476,-2.697E-4,0.001245,-2.861E-4,lessthanfifty,junk,junk,junk
-0.02768,-0.0033,-0.006751,-0.001789,-0.004479,-0.001786,-0.005378,-0.001981,0.002801,0.004246,-9.544E-5,-8.697E-4,0.001344,-1.594E-4,0.001091,-1.958E-4,lessthanfifty,junk,junk,junk
-0.02722,-0.003313,-0.00647,-0.001715,-0.004699,-0.0018,-0.005589,-0.001904,0.002281,0.004222,-2.118E-4,-8.531E-4,0.001194,-2.023E-4,0.001032,-1.825E-4,lessthanfifty,junk,junk,junk
-0.02589,-0.003271,-0.006438,-0.001739,-0.00454,-0.001723,-0.00576,-0.001879,0.003102,0.004014,-1.1E-4,-9.648E-4,0.001291,-2.66E-4,0.001016,-3.267E-4,lessthanfifty,junk,junk,junk
