A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,condition,feedback1,feedback2
0.003019,8.118E-4,-5.375E-7,1.199E-4,-1.66E-4,1.2E-4,-3.186E-4,-1.397E-4,0.008024,0.006279,0.002113,9.501E-4,0.002698,8.181E-4,0.00229,7.493E-4,junk,junk,junk
0.004881,3.939E-4,7.57E-4,1.067E-4,6.881E-4,1.397E-4,6.79E-4,1.6E-4,0.005201,0.006599,0.002302,8.171E-4,0.002241,7.05E-4,0.002303,8.684E-4,junk,junk,junk
0.004543,4.817E-4,4.861E-4,6.322E-5,6.384E-4,1.42E-4,8.614E-4,2.341E-4,0.005927,0.00611,0.001906,8.379E-4,0.001949,8.582E-4,0.002226,6.644E-4,junk,junk,junk
0.00583,4.894E-4,0.001679,1.093E-4,0.00168,1.6E-4,0.001623,3.384E-4,0.005169,0.005945,0.001895,9.698E-4,0.001862,9.582E-4,0.00211,8.106E-4,junk,junk,junk
0.005722,2.988E-4,9.14E-4,1.02E-4,0.001161,1.936E-4,0.00148,3.335E-4,0.004612,0.005632,0.002334,6.927E-4,0.00192,7.056E-4,0.002203,7.884E-4,junk,junk,junk
0.008132,2.438E-4,0.003178,3.212E-4,0.00263,3.373E-4,0.002111,2.237E-4,0.005761,0.005202,0.001605,8.178E-4,0.00217,7.077E-4,0.001708,7.158E-4,junk,junk,junk
0.007521,5.084E-4,0.002725,4.357E-4,0.002164,3.336E-4,0.001567,8.405E-5,0.007042,0.004694,0.001992,8.425E-4,0.001974,7.479E-4,0.002017,7.431E-4,junk,junk,junk
0.006572,6.86E-4,0.001976,4.146E-4,0.001564,3.276E-4,0.001033,1.002E-4,0.005896,0.005956,0.00196,8.297E-4,0.001935,8.566E-4,0.001945,7.849E-4,junk,junk,junk
0.0069,7.901E-4,0.002785,4.255E-4,0.002179,2.767E-4,0.001536,2.395E-5,0.005227,0.005506,0.001846,7.776E-4,0.002195,6.855E-4,0.002083,6.904E-4,junk,junk,junk
0.005727,7.49E-4,0.001989,3.645E-4,0.001393,2.357E-4,9.237E-4,-2.433E-5,0.004396,0.005015,0.001636,6.808E-4,0.00207,5.937E-4,0.002167,4.78E-4,junk,junk,junk
0.006587,7.515E-4,0.002506,4.792E-4,0.001923,2.994E-4,0.001391,-6.65E-6,0.004955,0.004725,0.001651,5.621E-4,0.001809,6.181E-4,0.001323,6.642E-4,junk,junk,junk
0.00632,5.763E-4,0.002257,3.599E-4,0.0018,2.179E-4,0.001359,2.475E-5,0.004633,0.004711,0.001625,6.701E-4,0.001496,5.148E-4,0.001708,5.209E-4,junk,junk,junk
0.004894,2.508E-4,0.001123,1.094E-4,0.00116,1.515E-4,0.001266,2.084E-4,0.007426,0.005976,0.002121,7.543E-4,0.002664,7.169E-4,0.002055,8.424E-4,junk,junk,junk
0.005716,2.056E-4,0.002386,6.524E-5,0.002404,1.302E-4,0.002329,3.249E-4,0.01028,0.008131,0.003405,0.001346,0.003877,0.001092,0.003339,0.001196,junk,junk,junk
