A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,accuracy,condition
-5.571E-4,0.001362,-0.002478,2.646E-4,-0.001114,7.443E-4,-0.002077,7.164E-4,-0.0025,0.001609,-0.002688,2.464E-4,-0.00301,3.48E-4,-0.002434,7.665E-5,junk,junk
3.773E-5,0.001246,-9.798E-4,4.045E-4,1.309E-5,6.864E-4,-8.672E-4,6.759E-4,-0.001361,0.001712,-0.001284,3.522E-4,-0.001256,5.091E-4,-8.958E-4,1.31E-4,junk,junk
0.001248,0.001408,-7.837E-4,3.073E-4,8.431E-5,6.831E-4,-8.668E-4,6.733E-4,1.213E-4,0.001788,-0.001204,4.304E-4,-0.001466,5.924E-4,-7.858E-4,1.993E-4,junk,junk
9.145E-4,0.001405,-4.258E-4,3.853E-4,2.115E-4,6.96E-4,-6.64E-4,6.846E-4,1.61E-5,0.001842,-7.874E-4,4.38E-4,-6.866E-4,5.804E-4,-3.792E-4,1.869E-4,junk,junk
-6.562E-5,0.001316,-0.002068,2.333E-4,-0.001083,6.673E-4,-0.001777,6.455E-4,-0.001913,0.00172,-0.002399,2.737E-4,-0.002685,3.925E-4,-0.00179,1.722E-4,junk,junk
9.881E-4,0.001321,-6.318E-4,2.923E-4,1.948E-5,6.686E-4,-8.31E-4,6.619E-4,-4.154E-4,0.001878,-0.001289,4.381E-4,-0.001357,5.85E-4,-8.742E-4,2.195E-4,junk,junk
1.264E-4,0.001342,-0.001215,3.235E-4,-5.514E-4,7.013E-4,-0.001262,6.89E-4,-0.001306,0.001795,-0.001516,3.608E-4,-0.001465,4.782E-4,-9.628E-4,1.385E-4,junk,junk
-2.391E-4,0.001271,-0.001943,2.214E-4,-0.001015,6.395E-4,-0.00166,6.428E-4,-0.002302,0.001719,-0.002584,3.281E-4,-0.002903,4.533E-4,-0.001923,1.835E-4,junk,junk
6.568E-4,0.001301,-8.385E-4,3.399E-4,-1.923E-4,6.942E-4,-9.152E-4,6.772E-4,-9.015E-4,0.001812,-0.001596,4.238E-4,-0.001584,5.557E-4,-0.001107,2.171E-4,junk,junk
-5.696E-5,0.001302,-0.001636,2.722E-4,-7.553E-4,6.694E-4,-0.001487,6.881E-4,-0.001885,0.001735,-0.002066,2.961E-4,-0.002244,4.229E-4,-0.00155,1.499E-4,junk,junk
7.183E-4,0.00133,-9.554E-4,2.941E-4,-1.779E-4,6.902E-4,-8.844E-4,6.742E-4,-0.001076,0.001876,-0.00165,4.004E-4,-0.001821,5.565E-4,-0.001222,2.174E-4,junk,junk
7.758E-4,0.00129,-4.968E-4,3.794E-4,2.466E-4,6.821E-4,-6.011E-4,6.821E-4,-7.627E-4,0.001885,-0.00112,4.466E-4,-0.001025,5.864E-4,-6.301E-4,1.646E-4,junk,junk
-6.247E-4,0.00131,-0.002253,2.181E-4,-0.00106,6.595E-4,-0.001798,6.651E-4,-0.002641,0.001673,-0.002689,2.677E-4,-0.002941,3.72E-4,-0.002028,1.54E-4,junk,junk
6.017E-4,0.001286,-8.289E-4,3.111E-4,1.036E-4,6.808E-4,-7.571E-4,6.691E-4,-0.001119,0.001855,-0.001499,4.192E-4,-0.001654,5.645E-4,-0.001054,1.599E-4,junk,junk
1.263E-4,0.001322,-0.002014,2.347E-4,-9.191E-4,6.604E-4,-0.001756,6.592E-4,-0.001632,0.001766,-0.002282,2.993E-4,-0.002532,4.017E-4,-0.001632,1.66E-4,junk,junk
3.228E-4,0.001314,-4.87E-4,2.649E-4,5.237E-4,6.086E-4,-7.036E-4,6.246E-4,-4.047E-4,0.001704,-8.453E-4,3.53E-4,-0.001045,5.242E-4,-6.298E-4,1.556E-4,junk,junk
-6.061E-4,0.001229,-0.0016,2.511E-4,-4.497E-4,5.873E-4,-0.001521,6.089E-4,-0.001845,0.001629,-0.001637,2.09E-4,-0.001856,3.717E-4,-0.001259,1.161E-4,junk,junk
-4.502E-4,0.001338,-0.001584,1.761E-4,-3.288E-4,5.555E-4,-0.00147,5.945E-4,-0.001826,0.001668,-0.002006,2.751E-4,-0.00233,4.093E-4,-0.001595,1.669E-4,junk,junk
4.663E-4,0.001219,-5.755E-4,2.901E-4,4.193E-4,6.151E-4,-7.539E-4,6.169E-4,-5.939E-4,0.001677,-9.894E-4,3.512E-4,-0.00112,5.021E-4,-7.274E-4,1.462E-4,junk,junk
-3.086E-4,0.001248,-0.001785,2.177E-4,-6.342E-4,6.048E-4,-0.001649,6.32E-4,-0.002045,0.001606,-0.00205,2.2E-4,-0.00231,3.602E-4,-0.001546,1.171E-4,junk,junk
7.071E-4,0.001306,-8.136E-4,2.42E-4,2.075E-4,6.258E-4,-8.969E-4,6.154E-4,-6.594E-4,0.00173,-0.001289,3.4E-4,-0.001488,4.986E-4,-9.345E-4,1.702E-4,junk,junk
2.959E-4,0.001315,-7.835E-4,3.025E-4,1.325E-4,6.571E-4,-9.222E-4,6.411E-4,-7.476E-4,0.001718,-9.657E-4,3.125E-4,-0.001065,4.678E-4,-6.029E-4,9.064E-5,junk,junk
1.664E-4,0.001273,-0.001883,1.522E-4,-6.023E-4,5.899E-4,-0.001609,6.128E-4,-0.001939,0.001733,-0.002317,2.617E-4,-0.002692,4.014E-4,-0.001708,1.687E-4,junk,junk
