A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,accuracy,condition
0.007585,-0.001439,0.00347,-0.001041,0.003663,-7.668E-4,0.00321,-7.299E-4,0.01068,-8.555E-5,0.006012,-4.916E-4,0.002498,-2.222E-4,0.003468,-4.379E-4,noguesses,rest
0.00763,-0.001442,0.003275,-0.001051,0.003605,-7.57E-4,0.003066,-7.137E-4,0.0101,-1.675E-4,0.005746,-5.195E-4,0.002413,-2.396E-4,0.003346,-4.476E-4,noguesses,rest
0.006555,-0.001411,0.003166,-0.001038,0.003309,-7.857E-4,0.002957,-7.208E-4,0.009595,-7.629E-5,0.005615,-4.858E-4,0.002078,-2.109E-4,0.003116,-4.173E-4,noguesses,rest
0.006846,-0.001322,0.00321,-0.001053,0.003527,-7.588E-4,0.003042,-7.202E-4,0.01008,-1.581E-4,0.005721,-4.908E-4,0.002437,-2.314E-4,0.003318,-4.327E-4,noguesses,rest
0.006394,-0.001449,0.002905,-0.001047,0.003162,-7.65E-4,0.002775,-7.147E-4,0.008868,-1.204E-4,0.005321,-5.055E-4,0.001948,-2.279E-4,0.002956,-4.359E-4,noguesses,rest
0.006341,-0.001378,0.003036,-0.001052,0.003323,-7.592E-4,0.002945,-7.088E-4,0.009274,-1.863E-4,0.005495,-4.892E-4,0.002112,-2.136E-4,0.003113,-4.2E-4,noguesses,rest
0.006418,-0.00147,0.002798,-0.001076,0.003183,-7.505E-4,0.002724,-7.048E-4,0.008814,-2.205E-4,0.005237,-5.07E-4,0.001972,-2.256E-4,0.002913,-4.413E-4,noguesses,rest
0.006332,-0.001585,0.002847,-0.001058,0.00322,-7.615E-4,0.002859,-6.901E-4,0.008908,-1.984E-4,0.005382,-4.798E-4,0.001957,-1.961E-4,0.002988,-4.089E-4,noguesses,rest
0.006079,-0.001461,0.002774,-0.001059,0.00315,-7.403E-4,0.002756,-6.966E-4,0.008812,-2.973E-4,0.005274,-4.895E-4,0.00198,-2.165E-4,0.002937,-4.246E-4,noguesses,rest
0.006545,-0.001512,0.002743,-0.001016,0.00316,-7.365E-4,0.002718,-6.875E-4,0.008792,-1.332E-4,0.005329,-4.663E-4,0.001887,-1.814E-4,0.002855,-4.011E-4,noguesses,rest
0.005798,-0.001489,0.002788,-0.001028,0.003195,-7.307E-4,0.002831,-6.705E-4,0.008964,-1.947E-4,0.005513,-4.495E-4,0.002115,-1.751E-4,0.003089,-3.96E-4,noguesses,rest
0.006059,-0.001505,0.002612,-0.001004,0.00303,-7.067E-4,0.002597,-6.857E-4,0.0088,-8.216E-5,0.00532,-4.266E-4,0.001862,-1.541E-4,0.002798,-3.77E-4,noguesses,rest
0.006418,-0.001508,0.002776,-9.844E-4,0.00328,-7.21E-4,0.00287,-6.582E-4,0.009565,6.516E-6,0.005745,-3.81E-4,0.002263,-1.125E-4,0.003212,-3.561E-4,noguesses,rest
0.006207,-0.001221,0.002111,-0.001163,0.002984,-7.143E-4,0.00269,-6.697E-4,0.009096,-1.604E-4,0.005494,-3.828E-4,0.002066,-1.116E-4,0.003037,-3.31E-4,noguesses,rest
0.006056,-0.001606,0.002715,-9.562E-4,0.003126,-7.089E-4,0.002657,-6.747E-4,0.008971,-8.89E-5,0.005467,-3.956E-4,0.002005,-1.27E-4,0.002952,-3.729E-4,noguesses,rest
0.005691,-0.00158,0.002899,-8.989E-4,0.003061,-6.951E-4,0.002693,-6.535E-4,0.00877,-2.009E-4,0.005502,-4.086E-4,0.002047,-1.392E-4,0.003012,-3.781E-4,junk,rest
0.005809,-0.001634,0.002758,-8.695E-4,0.0029,-6.764E-4,0.002537,-6.788E-4,0.008595,-6.822E-5,0.005294,-3.548E-4,0.00181,-1.111E-4,0.002715,-3.463E-4,junk,easy
0.007241,-1.896E-4,0.002419,-9.955E-4,0.002713,-2.893E-4,0.002129,-3.403E-4,0.00564,-1.393E-4,0.00339,-4.056E-4,9.717E-4,-2.399E-4,0.002462,-3.149E-4,junk,easy
0.007235,-1.991E-4,0.002489,-0.001004,0.002725,-2.773E-4,0.002278,-3.714E-4,0.005769,-1.191E-4,0.003459,-4.015E-4,9.966E-4,-2.403E-4,0.002433,-3.005E-4,junk,easy
0.007655,-2.067E-4,0.002462,-0.001021,0.002934,-2.902E-4,0.00228,-3.766E-4,0.006005,-2.29E-4,0.003534,-4.36E-4,0.001191,-2.58E-4,0.002555,-3.277E-4,junk,easy
0.007258,-2.208E-4,0.002361,-0.001008,0.0026,-2.995E-4,0.002127,-3.707E-4,0.005393,-1.625E-4,0.003342,-4.496E-4,7.956E-4,-2.706E-4,0.002288,-3.262E-4,junk,easy
0.007343,-1.982E-4,0.002454,-0.001037,0.002886,-3.003E-4,0.00229,-3.973E-4,0.00604,-1.612E-4,0.003597,-4.426E-4,0.001133,-2.656E-4,0.002522,-3.236E-4,junk,easy
0.007202,-2.839E-4,0.002297,-0.001059,0.002807,-3.374E-4,0.002171,-4.228E-4,0.005765,-1.9E-4,0.003564,-4.501E-4,0.001124,-2.772E-4,0.00253,-3.573E-4,junk,easy
0.006782,-2.683E-4,0.002304,-0.001046,0.002594,-3.486E-4,0.002137,-4.443E-4,0.005586,-1.442E-4,0.003586,-4.59E-4,9.044E-4,-2.791E-4,0.002365,-3.426E-4,junk,easy
0.007034,-2.56E-4,0.002355,-0.001091,0.002884,-3.67E-4,0.002258,-4.846E-4,0.006283,-2.171E-4,0.00382,-4.585E-4,0.001314,-2.931E-4,0.00261,-3.702E-4,junk,easy
0.006626,-3.469E-4,0.002257,-0.00109,0.002705,-3.998E-4,0.002128,-4.909E-4,0.005739,-2.568E-4,0.003724,-4.771E-4,0.001133,-3.081E-4,0.002502,-3.732E-4,junk,easy
0.006469,-3.195E-4,0.002267,-0.001103,0.00268,-3.977E-4,0.002124,-5.118E-4,0.005926,-1.743E-4,0.003795,-4.566E-4,0.001076,-2.929E-4,0.002442,-3.651E-4,junk,easy
0.006959,-3.097E-4,0.002381,-0.001134,0.002978,-4.277E-4,0.002283,-5.316E-4,0.006346,-1.972E-4,0.004047,-4.649E-4,0.001463,-3.099E-4,0.00269,-3.914E-4,junk,easy
0.006429,-3.442E-4,0.002329,-0.001117,0.00273,-4.582E-4,0.00219,-5.533E-4,0.005885,-2.262E-4,0.003906,-4.865E-4,0.001217,-3.178E-4,0.002592,-3.955E-4,junk,easy
0.006764,-2.898E-4,0.002429,-0.001132,0.002771,-4.454E-4,0.002201,-5.771E-4,0.0064,-1.52E-4,0.003935,-4.623E-4,0.001221,-3.13E-4,0.002499,-3.775E-4,junk,easy
