Uk1,YAxis,Uk2,PRbpm,SpO2,Time
149,74,9,62,97,2014-06-27 16:10:49.420063
149,73,9,62,97,2014-06-27 16:10:49.436446
149,72,9,62,97,2014-06-27 16:10:49.453182
149,71,8,62,97,2014-06-27 16:10:49.470308
149,70,8,62,97,2014-06-27 16:10:49.486517
149,69,8,62,97,2014-06-27 16:10:49.503541
149,68,8,62,97,2014-06-27 16:10:49.520012
149,67,8,62,97,2014-06-27 16:10:49.536774
149,66,8,62,97,2014-06-27 16:10:49.553708
149,66,8,62,97,2014-06-27 16:10:49.570203
149,66,8,62,97,2014-06-27 16:10:49.587027
149,67,8,62,97,2014-06-27 16:10:49.603518
149,68,8,62,97,2014-06-27 16:10:49.620194
149,71,8,62,97,2014-06-27 16:10:49.636964
149,73,9,62,97,2014-06-27 16:10:49.653885
149,75,9,62,97,2014-06-27 16:10:49.670489
149,77,9,62,97,2014-06-27 16:10:49.686937
149,79,9,62,97,2014-06-27 16:10:49.703989
149,81,10,62,97,2014-06-27 16:10:49.720618
149,82,10,62,97,2014-06-27 16:10:49.737271
149,83,10,62,97,2014-06-27 16:10:49.754127
149,84,10,62,97,2014-06-27 16:10:49.770716
149,84,10,62,97,2014-06-27 16:10:49.787117
149,84,10,62,97,2014-06-27 16:10:49.804231
149,84,10,62,97,2014-06-27 16:10:49.820742
149,84,10,62,97,2014-06-27 16:10:49.837509
149,83,10,62,97,2014-06-27 16:10:49.854398
149,83,10,62,97,2014-06-27 16:10:49.870869
149,82,10,62,97,2014-06-27 16:10:49.887640
149,82,10,62,97,2014-06-27 16:10:49.904432
149,83,10,62,97,2014-06-27 16:10:49.920923
149,83,10,62,97,2014-06-27 16:10:49.937397
149,82,10,62,97,2014-06-27 16:10:49.954605
149,82,10,62,97,2014-06-27 16:10:49.970880
149,81,10,62,97,2014-06-27 16:10:49.987947
149,80,10,62,97,2014-06-27 16:10:50.004714
149,79,9,62,97,2014-06-27 16:10:50.020911
149,77,9,62,97,2014-06-27 16:10:50.037754
149,75,9,62,97,2014-06-27 16:10:50.054596
149,73,9,62,97,2014-06-27 16:10:50.071032
214,55,6,62,97,2014-06-27 16:10:50.088003
214,54,6,62,97,2014-06-27 16:10:50.104641
150,53,6,62,97,2014-06-27 16:10:50.121497
150,52,6,62,97,2014-06-27 16:10:50.137988
150,51,6,62,97,2014-06-27 16:10:50.154701
150,50,6,62,97,2014-06-27 16:10:50.171547
150,49,6,62,97,2014-06-27 16:10:50.188180
150,49,6,62,97,2014-06-27 16:10:50.205007
150,48,6,62,97,2014-06-27 16:10:50.221371
150,47,5,62,97,2014-06-27 16:10:50.238269
150,46,5,62,97,2014-06-27 16:10:50.255259
150,45,5,62,97,2014-06-27 16:10:50.271856
150,45,5,62,97,2014-06-27 16:10:50.288159
150,44,5,62,97,2014-06-27 16:10:50.305288
150,43,5,62,97,2014-06-27 16:10:50.321572
150,43,5,62,97,2014-06-27 16:10:50.338547
150,43,5,62,97,2014-06-27 16:10:50.355318
150,43,5,62,97,2014-06-27 16:10:50.371883
150,44,5,62,97,2014-06-27 16:10:50.388631
150,45,5,62,97,2014-06-27 16:10:50.405329
150,46,5,62,97,2014-06-27 16:10:50.421862
